iso_code,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,median_age,gdp_per_capita,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,oecd_mei_index
CAN,Canada,2020-06,106097.0,13618.0,15133.428,8780.0,874.0,1053.4279999999999,2811.101,360.816,400.96599999999995,232.631,23.154000000000003,27.910999999999994,0.8019999999999997,70.275,37742157.0,41.4,44017.591,12.0,16.6,2.5,82.43,0.929,98.1038766598882
CAN,Canada,2020-07,118281.0,12184.0,11819.859,9025.0,245.0,257.857,3133.923,322.824,313.173,239.123,6.486999999999999,6.8309999999999995,1.0325806451612904,67.60741935483877,37742157.0,41.4,44017.591,12.0,16.6,2.5,82.43,0.929,98.6289117289486
CAN,Canada,2020-08,130918.0,12637.0,12427.143,9193.0,168.0,177.14,3468.747,334.8239999999999,329.264,243.574,4.444999999999999,4.690999999999999,1.056451612903226,66.86096774193551,37742157.0,41.4,44017.591,12.0,16.6,2.5,82.43,0.929,99.1696895322076
CAN,Canada,2020-09,161107.0,30189.0,26487.57,9391.0,198.0,175.429,4268.622,799.876,701.804,248.82,5.240000000000001,4.649000000000001,1.2606666666666664,64.29333333333335,37742157.0,41.4,44017.591,12.0,16.6,2.5,82.43,0.929,99.4116410439552
CAN,Canada,2020-10,237313.0,76206.0,72747.428,10276.0,885.0,810.431,6287.743,2019.122,1927.4819999999997,272.268,23.446000000000005,21.472,1.18516129032258,63.43000000000002,37742157.0,41.4,44017.591,12.0,16.6,2.5,82.43,0.929,99.6183728951263
CAN,Canada,2020-11,381557.0,144244.0,134312.144,12239.0,1963.0,1823.145,10109.571,3821.8289999999997,3558.677,324.279,52.013999999999996,48.305,1.1496666666666664,65.03333333333336,37742157.0,41.4,44017.591,12.0,16.6,2.5,82.43,0.929,99.9311967216893
CAN,Canada,2020-12,584409.0,202852.0,198644.14399999997,15762.0,3523.0,3365.569,15484.25,5374.677,5263.189000000001,417.623,93.34300000000002,89.17300000000002,1.0558064516129033,67.13000000000005,37742157.0,41.4,44017.591,12.0,16.6,2.5,82.43,0.929,100.229263257461
CAN,Canada,2021-01,783695.0,199286.0,209294.99800000005,20041.0,4279.0,4309.428,20764.447,5280.197000000001,5545.389,530.998,113.374,114.17899999999999,0.9396774193548387,73.34064516129034,37742157.0,41.4,44017.591,12.0,16.6,2.5,82.43,0.929,100.307789413533
CHL,Chile,2020-05,123550.0,105848.0,88577.85600000001,1054.0,827.0,700.144,6463.102,5537.080999999999,4633.654,55.136,43.261,36.625,1.4290322580645163,76.5690322580645,19116209.0,35.4,22767.037,34.2,41.5,2.11,80.18,0.851,96.5052925590353
CHL,Chile,2020-06,279393.0,155843.0,163344.57100000003,5688.0,4634.0,4361.143999999999,14615.502,8152.400000000001,8544.819,297.549,242.41000000000003,228.138,1.0146666666666666,78.23999999999998,19116209.0,35.4,22767.037,34.2,41.5,2.11,80.18,0.851,98.2256389053372
