"iso_code","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units",,,94.6615474319821,,
"CZE","Czech Republic","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units",,,96.1141906153461,,
"CZE","Czech Republic","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units",,,96.9321367866211,,
"CZE","Czech Republic","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units",,,97.036866026491,,
"CZE","Czech Republic","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units",,,96.4840962763495,,
"CZE","Czech Republic","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units",,,96.5317247650212,,
"CZE","Czech Republic","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units",,,97.0021561314928,,
"CZE","Czech Republic","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-01","Jan-21","IDX","Index","0","Units",,,97.3115221432625,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,99.609342582847,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,99.4714065390863,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,97.427352351137,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units",,,95.467784432349,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-05","May-2020","IDX","Index","0","Units",,,97.2833192019176,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units",,,99.0412275227008,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units",,,99.4502572741672,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units",,,99.4802753083788,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units",,,99.5415996842309,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units",,,99.6422452908712,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units",,,99.7712783365458,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units",,,99.9199973838102,,
"DNK","Denmark","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-01","Jan-21","IDX","Index","0","Units",,,100.060614401243,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,99.4020386909891,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,99.4275031280646,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,98.9199298307384,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units",,,96.6525592721568,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-05","May-2020","IDX","Index","0","Units",,,97.567973118806,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units",,,98.6668100851148,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units",,,99.435574441305,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units",,,99.5243183400184,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units",,,99.6833779482184,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units",,,99.9252849951027,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units",,,100.224970879194,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units",,,100.544274356849,,
"FIN","Finland","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2021-01","Jan-21","IDX","Index","0","Units",,,100.865263225959,,
"FRA","France","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,99.5748918213001,,
"FRA","France","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,99.4859610922555,,
"FRA","France","LOLITOAA","Leading Indicators OECD > Leading indicators > CLI > Amplitude adjusted","STSA","Level, rate or national currency, s.a.","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,95.1002729172991,,
